"COMUNA","Paso","ESTADO"
"Aisén","4","Apertura Inicial"
"Algarrobo","3","Preparación"
"Alhué","4","Apertura Inicial"
"Alto Biobío","3","Preparación"
"Alto del Carmen","3","Preparación"
"Alto Hospicio","2","Transición"
"Ancud","2","Transición"
"Andacollo","4","Apertura Inicial"
"Angol","2","Transición"
"Antofagasta","3","Preparación"
"Antuco","3","Preparación"
"Arauco","2","Transición"
"Arica","2","Transición"
"Buin","4","Apertura inicial desde el jueves 19 de noviembre a las 5:00 hrs."
"Bulnes","3","Preparación"
"Cabildo","3","Preparación"
"Cabo de Hornos","3","Preparación"
"Cabrero","2","Transición"
"Calama","3","Preparación"
"Calbuco","1","Cuarentena"
"Caldera","3","Preparación"
"Calera","3","Preparación"
"Calera de Tango","4","Apertura Inicial"
"Calle Larga","3","Preparación"
"Camarones","3","Preparación"
"Camiña","3","Preparación"
"Canela","4","Apertura Inicial"
"Cañete","1","Cuarentena"
"Carahue","2","Transición"
"Cartagena","3","Preparación"
"Casablanca","3","Preparación"
"Castro","2","Transición"
"Catemu","3","Preparación"
"Cauquenes","3","Preparación"
"Cerrillos","4","Apertura inicial"
"Cerro Navia","3","Preparación"
"Chaitén","3","Preparación"
"Chanco","3","Preparación"
"Chañaral","3","Preparación"
"Chepica","3","Preparación"
"Chiguayante","2","Transición"
"Chile Chico","4","Apertura Inicial"
"Chillán","2","Transición"
"Chillán Viejo","2","Transición"
"Chimbarongo","3","Preparación"
"Cholchol","1","Cuarentena"
"Chonchi","1","Cuarentena"
"Cisnes","4","Apertura Inicial"
"Cobquecura","3","Preparación"
"Cochamó","3","Preparación"
"Cochrane","4","Apertura Inicial"
"Codegua","3","Preparación"
"Coelemu","3","Preparación"
"Coihueco","3","Preparación desde el jueves 19 de noviembre a las 5:00 hrs."
"Coinco","3","Preparación"
"Colbún","3","Preparación"
"Colchane","3","Preparación"
"Colina","4","Apertura inicial"
"Collipulli","2","Transición"
"Coltauco","3","Preparación"
"Combarbalá","4","Apertura Inicial"
"Con Con","3","Preparación"
"Concepción","2","Transición"
"Conchalí","3","Preparación"
"Constitución","3","Preparación"
"Contulmo","3","Preparación"
"Copiapó","3","Preparación"
"Coquimbo","4","Apertura Inicial"
"Coronel","1","Cuarentena"
"Corral","3","Preparación"
"Coyhaique","2","Transición"
"Cunco","2","Transición"
"Curacautín","2","Transición"
"Curacaví","4","Apertura inicial"
"Curaco de Vélez","3","Preparación"
"Curanilahue","2","Transición "
"Curarrehue","4","Apertura Inicial"
"Curepto","3","Preparación"
"Curicó","3","Preparación"
"Dalcahue","2","Transición"
"Diego de Almagro","3","Preparación"
"Doñihue","3","Preparación"
"El Bosque","3","Preparación"
"El Carmen","3","Preparación"
"El Monte","4","Apertura inicial"
"El Quisco","3","Preparación"
"El Tabo","3","Preparación"
"Empedrado","3","Preparación"
"Ercilla","3","Preparación"
"Estación Central","4","Apertura inicial desde el jueves 19 de noviembre a las 5:00 hrs."
"Florida","3","Preparación"
"Freire","1","Cuarentena"
"Freirina","3","Preparación"
"Fresia","2","Transición"
"Frutillar","2","Transición"
"Futaleufú","3","Preparación"
"Futrono","1","Cuarentena"
"Galvarino","2","Transición"
"General Lagos","3","Preparación"
"Gorbea","2","Transición"
"Graneros","3","Preparación"
"Guaitecas","4","Apertura Inicial"
"Hijuelas","3","Preparación"
"Hualaihué","1","Cuarentena"
"Hualañé","3","Preparación"
"Hualpén","2","Transición"
"Hualqui","2","Transición"
"Huara","3","Preparación"
"Huasco","3","Preparación"
"Huechuraba","3","Preparación"
"Illapel","4","Apertura Inicial"
"Independencia","4","Apertura Inicial"
"Iquique","2","Transición"
"Isla de Maipo","2","Transición"
"Isla de Pascua","3","Preparación"
"Juan Fernández","4","Apertura Inicial"
"La Cisterna","3","Preparación"
"La Cruz","3","Preparación"
"La Estrella","3","Preparación"
"La Florida","3","Preparación"
"La Granja","3","Preparación"
"La Higuera","4","Apertura Inicial"
"La Ligua","3","Preparación"
"La Pintana","3","Preparación"
